,0
34,00000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000100000000000000000000000000100000000000000000000000000011010
35,00000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000100000100000000000001000000100001000100000000100001000011110
36,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001011010
37,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000000000000000000000000100000000000000000000000001011010
38,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000000000000000000000000100000000000000000000000000011010
39,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000000001000100000000000000000000000001110000000000000001000010100111010
40,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000100000000000001000000100001000100000000100001000011110
41,00010000000000000000000000000010000000000000100000000000000000000000010000000000000000100011000000000010100000001011101000001000110010000011010000011100010100001000100
42,00000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000100010000000010000010100000000000
43,00000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000000100000000000000000010100000000000
44,00000000000000000000000000001100000000000001000010000010000000000000010000000000001000100001000100001010101000001000000000011000001110001011100000101001011101110100100
45,00000000000000000000000000000000001000000000000000100000000000000010000000101000000000000000000000010000000000001001000000000000000000000000010000000100000100001000000
46,00000000000000000000000000000000000000000000000000001000000000000110000000110101100100010010001111001001100110011000101011101100010010100101011000011100110111101111110
47,00000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000100000000000000000000000000100000000000000000000000000011010
48,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001011010
49,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000001000100000000100001001011110
50,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000000001000100000000000000000000000001110000000000000001000010100111010
51,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000100000000000001000000100001000100000000100001000011110
52,00000000000000000000000000000000000000000000000000000100000000000000000000000000100010000000000000000000000000000000000000000000000101010000001000000001000010100111010
53,00000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000011010
54,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000001000000000010100010100010000000000100110101001000100
55,00000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000100000000000000000010010000000000000100110000100100000001011000110
56,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000001011010
57,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000000000000000000000000100000000000000000000000000011010
58,00000000000000000000000001000000000000000000000000000100000000000100000000000100100010000000000000100000001000000000000011000000000101010100001000000001000010100111010
59,00000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000100000000000000000000000000100000000000000000000000000011010
60,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001101000000000110000000000000000010000000000001001010
61,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011010
62,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000000001000000000110000100000000000010000000000000001010
63,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000001000100000000100001000011110
64,00000000000000000000000000000000000000000000000000000000000000000100000000000000000000010000000000100001000100000000000001000000000000100100000000000000000010000111010
65,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000011101000000000000000100000000000010000010100001000000
66,00000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000010000000000000000000000000000000000000000100000000000000000000000010110
67,00000000000000000000000000000000000010000000000000000000000000000000000000000000000100001000000010000000000000000000000000000000000000000100000000000000000000000010010
68,00000000000000000100000001000000000000000000000000000000000000000100000000000100100000000000000000100000001000000000000011000100000001010100001001000101000010101111010
69,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011010
70,00000000000000000000000000000000000000000000000000000010000000000000000000000001001000100001000000101000100000010000001011000000110100000110001000010001010000100101010
71,00000000000000000000000000000000000000000000000000000000010000000000000000000000001000100001000100101000100001010000001011000000110010000110000000010001010001100101110
72,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000001000001000000001000000010110010100010000000010000010101000000100
73,00000000000000000000000010000000000000000000000000000000000000000100000110100011000000010000101101100111010111110100011111011111000010100110111101110100111111011111110
74,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000011101000000000110000000000000000010100000100001000000
75,00000000000000000000000000000000000000000100000000000000000000000000000000000000101000100000000000001000100000010000001000000000110000000010001000010001010100100100000
76,00000000000000000000000000000000000000000010000000001000000000000100000000010101100100010000001011001001001101011000000011101110000000100110001010001010010111100111110
77,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000011101000000000110000000000000000010100000100001000000
78,00000000000000000000000000000000000000000000000000001000000000000010010000100000000000000000101100000000000000101010010000101100000000001000011001001101001110111111110
79,00000000000000000000000000000000000000000100000000001000000000000110000000010101100100010000001010001001000100011000001011101100010000100100001001011000010110100111010
80,00000000000000000000000000000000000000000000000000000000000000000010000000001000000000010000000010010001010100001000000000010000000100101001100000100010001001010001110
81,00000000000000000001000000000000000010011000000010000001011011000011000001001000000000011000000010010111011101001000000010001001111000100110000100101010010001010001110
82,00000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000000000001001100001000000000000100000000100001000001000000100001000011110
83,00000000000000000000000000000000000000000000000000000100000000000010000000000000001000000110000000000000000001001000000000000000000100000011100000100000010101010000100
84,00000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000010001000001100000000001111001000000000100101101000100001010011110
85,00000000000000000000000000000100000000000000000010010000000111001001000001000000010000001000010000000010001001001110000000001011101000000010110100101100110101011011110
86,00000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000011001001001000001000001010101010100010100000111000010101010000100
87,00000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000100000100000000000111000000100000000111000010100001000011110
88,00000000000000000000000000000000000001000011000000000000000000000000000010000100000000010100100001000001001100101100010000000111000101111000101111100011101011110111110
89,00000000000000000000000010000000000000000000000001000000100000010000001100000000000000010000001000000011000100000000000100101000001001110000000010001010000010110111110
90,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000100010000000000000000000101000001011000000111000001101010110111110
91,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000011101000010010110000001010110010110110011101011011110
92,00000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001100010000000010000000000100000001010000000001000001010110101111010
93,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000000000000000000000000100000000010000010000000000011010
94,00000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000100000100000000000001000000100001000110000010100001000011110
95,00000000000000000000000010000000000000000010000001000000100000010000001100000000000000010000001000000011001100001000000100101000001001110000000010001010000010110111110
96,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000000000000010000000000100001000010000010001001010011110
97,00000000000000000000000010000000000000000000000001000000100000010000001100000000100000000000001000000010000000000000000100101000001001011000101010101010000010111111110
98,00000000000000000000000000000100000000000000000010001000000000100101000001010000010000001000101101100010001001101110010011101111101001010110101111101110011111111111110
99,00000000000000000000000000000000000000000000000000001000000000000110000000110001101100010000111111001001000110111010010011101100000000100100011010001111011110101111110
100,00000000000000000000000010000000000000000000000001000000100000010000001100000000000000000100001100000010000000000100000100101001001001010001000110101010100011111111110
101,00000000000000000000000000000000000000000000000000001000010000100100000010010101100100010000001111001001000111011101000011111111110010100110001111101010110111111111110
102,00000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000001000100000000000000000000000000100000000010000010000000000111010
103,00000000000000000000000000000000000000000000000000000000000000000010000000100000000000000010000000000000000010001100000000000101000100000001010111000110100101011011110
104,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000000000000000100000000100001000001000000100001000011110
105,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001000000101000000011110
106,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000100000000000000000001000000000000000011010
107,00000000000000000000000000000000000000000000000000000000010000000100000010000001000100010000100110100101010111100100011011010111110010100110101101110000111111011111110
108,00000000000000000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000000100000101010000001011000111000010101111010
109,00000000000000000000000000000000000000100110000000011000000111101101000001010101110110011000001011000011001100001000000011101100001001110100001010001011000010100111110
110,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000100000000000000000001000000000000000011010
111,00000000000000100000000000000000000000000000000100000000001000000001000001010000010001101000000000101000001000010000001011101000111000000110001001011000010010100101010
112,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010100000000000000000100000000000011000001010000000110000111100011101111110
113,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000000000000000000000000100000000010000010000000000011010
114,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000100000000000001000000100001000110000010100001000011110
115,00000000000000000000000000000000000000000000000000000000000000000110000000100100100000000000100001100100010001101100011011000111000010000100011101010100010111001111110
116,00000000000000000000000010000000000000000000000001000000100000010000001100000000100000000000001000000010000000000000000100101000001001011000101010101010000010111111110
117,00000000000000000000000000000000000000000001000100000000000000000000000001000100010000001011000000000000101000010000001000000000110101000000001001010001000010100101010
118,00000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000001000000000000010100000100000000000000010010000001100010100101100000
119,00000000000000000000001001000000000000000000000000000000000000100100000000000100100000000000000000100000001000000000000011000100000001010100001001010001000010101111010
120,00000000000000000000000000000000000000000000000000000000000000000000000000100000000001100000010000000000000000000000000000100000000001010000000000001100000010101111010
121,00000000000000000000000010000000000000000000000001000000100000010000001100000000000000010000001000000011000100000000000100101000001001110000000000001000000010110111110
122,00000000000000000000000000000100000000000000000000000000000000000001000001000000010000001000010000000010001011001010000000011010111010001010110000101100011101011000100
123,00000000000000000000000010001000000000000000000001001000000000010000001100010101100000100000001001101010001000010000010111101000101001001110101000101000010010110101110
124,00000000000000000000000010000000000000000000000001000000100000010000001100000000000000000000001000000010000000000000000100111000001001011001100000101000001011110111110
125,00000000000000000000000000000000000000000110000000000000000000000000000010000000000000010000000000000000000111000111101000010111000010100000100111110110111101011111110
126,00000000000000000000000010000100000000000000000011000000100000010001001101000000010000001000011000000010001000001100000100101011001001010000110110101110100011111111110
127,00000000000000000000000000000000000000000000000000000000010000000010000000100000000000100000000010100100010011001001000000000000100000000110010011000110010001001011110
128,00000000000000000000000001000000000000000000000000000100000000000100000000000100101000010000000000101001001100000010000011000000000101110110001000000101010110101111010
129,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001010000000001000001000010100111010
130,00000000000000000000000000000000000000011000000010010101001111101001010001000000010010011000000001000011001100001000000000001100001101111001101011101011000010110111110
131,00000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000100000000000000000000010010000000000000100010000100100000001011001110
132,00000000000000000000000000000000000000000000000000000000010000000000000010000000000000100000000000100000000001000000001010000000110010000110000000010000010001010001110
133,00000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000010000011101000000000110000000000000000010000000100001000000
134,00000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000010001011001111101000001111111000000000100101111100110101011011110
135,00000000000000000000000000000000000000000010000000000000000000000100000000000000000000010000000001100101010100000100000001000111000000100100000101000000100011000111110
136,00000000000000000000000000000000000000000000000000001000000000000110000000110101100100010011001111001001100110011001101011101101110010100101001100011110110111101111110
137,00000000000000000000000000000000000000000000000000000100000000000010000000100000001000000110000000000000000001001001000000000000000100000011000000000100010101011000100
138,00000000000000000000000000000000000010000000000000010001001011000001000001000000000100101000000010000010000000001000001000001001011010001110000100011000010000010000110
139,00000000000000000000000000000100000000000000001010000000000000000000000000000000000000000000000000000010001101001000000000001010101000100010100000101000010101010000100
140,00000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000010001001001011101000001010101010000010110000111100010101011000100
141,00000000000000000000000000000000000000000000000000000000000000000010000000000000000000010011100000000001000110101101111000000001110101110001000111010011101011111111110
142,00000000000000000000010000000000000000000000000000000000000000000000000000001000000000000000000000010001000100000000000000000000000000100000000000000000000000000000000
143,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100001000000000010000000000100001000000000000001001011000100
144,00000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000000000000001100000000000001000000000001010110000110100001001011110
145,00000000000000000000000000000000000001100010000000001000000000100100000000010101100101010000001111000001001101100110010011111111100001111100001110101110011111111111110
146,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000100000000000000000001000000000000000011010
147,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100010000000100000000000101000000001001000111100000101001010011110
148,00000000000000000000000000000000000000000010000000001000000000100100000010010000100100010000111111000001001111100110010011111111010010100110101110101110111111111111110
149,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000000000000000100000000100000000011000010000000000011010
150,00000000000000000000000000001100000000000000000000000000000000000011000001100000010000001000000000000010001001001010100000001010101000000010010000001100010101011000100
151,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000101010100000000000000000101000000101000000111000000101000010011110
152,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100001000000000000000000000100010000000000000010100000000000
153,00000000000000000000000000000000000000000110000000000000010000100100000010000000100100010000000010000100011100001100000011010100000000100100001010000011100001010111110
154,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000100000000000111000000000001000111100010101001011011110
155,00000000000000000000000100000000000000000000000000001000010000100010010010010000000100000100101111000000001000101100010011111111000001011100101101101011101011111111110
156,00000000000000000000001000000000000000000000000000100000000000000000000000001000000000000111000000010000000001000010000000010011100010001001100100110010111101011001110
157,00000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000010000100010000000000000000000100000000000100000001000000100000000011110
158,00000000000000000000000000000000000010000000000000000000000000000000000000000000010100001000000010000100010000000000000000000100000000000100000001000000000000000011010
159,00000000000000000000000000000100000000000000000010000000000000000001000000000000010000001000000000000010001001001010000000001010101000000010000000101100010101011011110
160,00000000000000000000000000000000110000000000000000000000000000001001000000010000010100001100101010010101011100101000010001101001010000101100000100001010001010110101110
161,00000000000000000000000000000000110000000000000000000000000000001001000000010000010100001100101010000101011100101000010001101001000000101100000110001010001010110111110
162,00000000000000000000000000000000000000000000000000000000000000000010000000110000000101000100100010011100010010101011111001100001110000001100010101011110011110111101110
163,00000000000000001000001000000000000000000010000000001000010000100110000000010101100100010000001111001001000100011000000011101100000010100100001011001010110111100111110
164,00000000000000000000000010000000000000000000000000001000000000000110000100110010100100000000111111000010000001111100010111111111001000000100111111101110111111111111110
165,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000100010000000000000000000100000001010000000001000001000010100111010
166,00000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000100000001000000000100010110000100000000000000010010000001100011110101111110
167,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000100000000000000000011000110000100001011010
168,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000100000001010000000001000001000010100111010
169,00000000000000000000000001000000000000000010000000001000000000100100000000010101100101010000101011100101011100100100010011101101000001110100001111001010001010100111110
170,00000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000011001000001001000000001010001010100010110000101100110101011000100
171,00000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000011001000001000000000001010001010100010100000101000110101010000100
172,00000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010000001000000001001100110010000010111000101011000101101100001111111111111110
173,00000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010001000000001000100100010000010111000101011000101101100101101011111111110
174,00000000000000100000000000000000000000000000000100000000000000000001000001100000010001101000010000000000001000000000000000101000000000000000011000001100000010101100000
175,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010010000011101000000101010000001000000111010000101100011011110
176,00000000000000000000001000000000000000000010000000010001011111101101000101000000010100001100011011000010001100001000000011001100001000101100100010111010101000011111110
177,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000100000000000000000000100000100001011010
178,00000000000000000000000000000000000010000010000100001000000000000100000010100000110101011000101111000000001111111100010011101111000011110100001100001100011111111111110
179,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000001000011101000000010110010000010000000010100010101001000100
180,00000000000000000000000010000000000000000000000000000000000000000000000100000010000000000100011100000010000011000100000100011111000000000000110111100110111111011111110
181,00000000000100000001000000000000000000000000000000000000000000000010000000000000000000010000000010000101010100001000000000000001000000100000000101000010101000000001110
182,00000000000000000000000000000000000000000000000000000100000000000010000000100000001000000110000000000000000011001001000000000000000100000001010000000100110101011000100
183,00000000000000000000000000000000000000000000000000000000010000000000000000000000000100000101000010000000010000000000001000010000000110001101100000110010101001010001110
184,00010000000000000000000000000011000000000000100000000000000000000000000000000000000000100000000000000001000100001011101000001000110000100010010000011100010100001000000
185,00000000000000000000000010000100000000000100000010000000000000000001000101000011010000001000001101000010001001001010000100001010101000000010001000101100010111011111110
186,00000000000000000000000000000000000010100000000100000000000000100100000000000101000100001000000010000100010000000000000011000100000000000100001000000001000010000111010
187,00000000000000000000000000000000000000000000000000000000000000000000000000100000000000000011000000000000100010000001101000000001110010000001010100010110100001001001110
188,00000000000000000000000000000000000010000000000100000000000100001100000000000000010100001000000010000100011000000000000011000100000000000100000000000000000010000111010
189,00000000000000000000000000000000000000000000000000100000000000100000000000001000000000000000000000010000000000000000001000000001110010000000000101010010101000000001110
190,00000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000100010000001001100000000000000000000000010011000110101000001011110
191,00000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000001000101000000000000000000000000100001000010000010010101000011110
192,00000000000000000000000000000000000000000000000000000000000000000000000010000000000001100000100100001100010010100110110000100111000000000010010101001100111111111111110
193,00000000000000000000000000000000000000000000000000000000000000000010000000000000000000010010100100000001100110111011110000000000010010101000010010000111111110111111110
194,00000000000000000000000100000000000000000000000000000000010000000010000010100000000100000000010010000100011000101101010000010011000010000100010110100101101011111111110
195,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000110000000000011000001010000000100000001110111101111110
196,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000100000000000001000000100001000110000010100001001011110
197,00000000000000000000000010000000000000000010000001000000100000010000001100000001100001100000001001001010001110011011001100101000111001111010101010111110010110111111110
198,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000000000000000100000000100000000011000010000000000011010
199,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000000000000000100000000100000000011000010000000000011010
200,00000000000000000000000000001000000000000000000000000000000000000000000000000000000001100100110000001001000001110011010000100010110011110010010010001110011111111111110
201,00000000000000000000000000000000000000000000000000001000000000000010010000100000000000000000111100000000000000101100010000101111000000001000011111101111101011111111110
202,00000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000010010000010010000000100000000000010000000000000000000000000000001001010
203,00000000000000000000000000000100001000000000000010000000000000000000000000000000000000000000000000010010001001001000000000001010101000000010100000101000010101010000100
204,00000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000010000000000000000001000000000000010000000000000010000000100100001001000100
205,00000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001100001000000000010000000000100001000000000000001001010000100
206,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000000000000000100000000100000000011000010000000000011010
207,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000000000000000100000000100000000011000010000000000011010
208,00000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000010000000001000100000100000000000011000000100000000110000110100001011011110
209,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001000010000110100001001100000110010001001010001110
210,00000000000000000000000000010000000000000100000000000000000000000000000000000000000000010000000000000000000100000100000000000001000000100001000110000010100001000111110
211,00000000000000000000000000000000000000000100001000000000000000000000000000000000000000010000000000000000000100000100000000000001000000100001000110000010100001000111110
212,00000000000000000000000000000000000000000000000000000000000000000100000000000000000000010000000100100001000100000000000001010000000000100101000010000010001011010111110
213,00000000000000000000000000000100000000000000000000000000000100001001000000000000010000001000000000000010001001001010000000001110001000000000000001001000010101011011110
214,00000000000000000000000000000000001000000000000000100000000000000000000000001000000000010000000000010001000100000000000000000000000000100000000000000000000000001011010
215,00000000000000000000000100001000000001000010000000001000010000000010000010010111000001010100011111101101011111111100010111111111010011111100101111101100111011111111110
216,00000000000000000000000000000000000000000000000000000000000000000010000000100000000000000011000000000100010010001001101000010000110000000001010011010100001001011011110
217,00000000000000000000000000000000000000000000000000000000010000000000000010000000000000010000000000100101010100000100000010000100000000100100000011000010100001010011110
218,00000000000001000000000010000000000001000000000000000000000000000000000110000100000000010000011100000011001100100000010000101010000001110000001000001101001011111111110
219,00000000000001000000000110000000000000000000000000001000000000100100000110010000100100010000111111000011001101100100010011111111001001110100101111101110011111111111110
220,00000000000000000000000000000000000000011010000010010001001011000001010001000000010000001000000000000010001100001000000000001000001000101001000000101000000000010000100
221,00000000000000000000000010000000000000000000000001000000100000010000001100000000000000010000001000000011000100000000000100101000001001110000000010001010000010110111110
222,00000000000000000000000101000000000001000000000000000100000000000100000000010101101101000010010011001100111000110011111011110110000101011100001010111111011111111111110
223,00000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000001000101000000000000000000000000100001000010000010010101000011110
224,00000000000000000000000000010100000000000000000010000000000000000001000001000000010000011000010000000011001100001100000000001011001000100000000110101110100001011011110
225,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000001000100000100000000000011000000100000000110000010100001001011110
226,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000101010100000000000000000100000000100000000001000000000000000011010
227,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000000000000000100000000100000000011000010000000000011010
228,00000000000000000000000010000000000000000000000001000000100000010000001100000000000000010000001000000011000100000100000100101111001001110000000111101010100011110111110
229,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000001000100000000000000010010000000101000100010100110001001011011110
230,00000000000000000000000010000000000000000010000001000000100000010000001100000001100001100000001001001010001110011011101100101000111001111010101010111110010110111111110
231,00000000000000000000000010000000000000000000000001000000100000010000001100000000000000010000001000000011000100000000000100101000001001110000000010001010000010110111110
232,00000000000000000000000000000100000000000000000010000000010000100101000111000000010100001100101011000010001001101110010011001111101000000110100100101100110111011111110
233,00000000000000000000000000000100000000000100000010000000000000000001000001000000010000011000010001000011001100001100000000001011001000100000000110101110100001011111110
234,00000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000001000100000000000000000000000000100000001010000010000000000111010
235,00000000000000000000000010000000110000000000000001010001101111011001011101000001110011101000001001001010001010011011011100101000111001011010101010111111010110111111110
236,00000000000000000000000001000000000000000000000000000100000000000100000000100100101000010000000000101001001100000010000011000000000101110100011000000101010110101111010
